Source,Target,Weight
史强,常伟思,20
史强,丁仪,8
史强,申玉菲,7
史强,魏成,14
史强,罗辑,373
史强,史晓明,5
史强,庄颜,6
史强,希恩斯,6
常伟思,史强,20
常伟思,章北海,28
常伟思,希恩斯,8
杨冬,丁仪,8
杨冬,叶文洁,22
杨冬,罗辑,6
丁仪,杨冬,8
丁仪,史强,8
丁仪,智子,15
丁仪,泰勒,8
丁仪,章北海,8
申玉菲,史强,7
申玉菲,魏成,6
申玉菲,潘寒,19
魏成,申玉菲,6
魏成,史强,14
潘寒,申玉菲,19
潘寒,叶文洁,6
周文王,牛顿,6
叶文洁,杨冬,22
叶文洁,叶哲泰,6
叶文洁,杨卫宁,150
叶文洁,雷志成,49
叶文洁,潘寒,6
叶文洁,伊文斯,25
叶文洁,智子,5
叶文洁,罗辑,28
叶文洁,庄颜,5
叶哲泰,叶文洁,6
叶哲泰,杨卫宁,6
雷志成,杨卫宁,31
雷志成,叶文洁,49
杨卫宁,雷志成,31
杨卫宁,叶文洁,150
杨卫宁,叶哲泰,6
牛顿,秦始皇,12
牛顿,周文王,6
秦始皇,牛顿,12
秦始皇,智子,6
伊文斯,叶文洁,25
三体元首,智子,16
智子,三体元首,16
智子,叶文洁,5
智子,丁仪,15
智子,秦始皇,6
智子,泰勒,5
智子,罗辑,57
智子,希恩斯,6
智子,维德,8
智子,程心,149
智子,艾AA,33
智子,弗雷斯,10
智子,云天明,29
智子,关一帆,14
罗辑,杨冬,6
罗辑,史强,373
罗辑,雷迪亚兹,27
罗辑,泰勒,29
罗辑,希恩斯,45
罗辑,萨伊,36
罗辑,伽尔宁,11
罗辑,庄颜,126
罗辑,智子,57
罗辑,叶文洁,28
罗辑,山杉惠子,8
罗辑,史晓明,8
罗辑,维德,9
罗辑,艾AA,22
罗辑,程心,87
吴岳,章北海,79
吴岳,希恩斯,11
吴岳,山杉惠子,7
章北海,吴岳,79
章北海,常伟思,28
章北海,丁仪,8
章北海,东方延绪,55
张援朝,史晓明,5
史晓明,张援朝,5
史晓明,史强,5
史晓明,罗辑,8
萨伊,罗辑,36
萨伊,程心,5
泰勒,罗辑,29
泰勒,雷迪亚兹,25
泰勒,希恩斯,15
泰勒,丁仪,8
泰勒,智子,5
泰勒,庄颜,7
雷迪亚兹,罗辑,27
雷迪亚兹,泰勒,25
雷迪亚兹,希恩斯,18
雷迪亚兹,伽尔宁,17
希恩斯,泰勒,15
希恩斯,雷迪亚兹,18
希恩斯,山杉惠子,73
希恩斯,罗辑,45
希恩斯,常伟思,8
希恩斯,智子,6
希恩斯,吴岳,11
希恩斯,史强,6
山杉惠子,希恩斯,73
山杉惠子,罗辑,8
山杉惠子,吴岳,7
伽尔宁,罗辑,11
伽尔宁,雷迪亚兹,17
庄颜,罗辑,126
庄颜,史强,6
庄颜,泰勒,7
庄颜,叶文洁,5
东方延绪,章北海,55
云天明,程心,214
云天明,智子,29
云天明,艾AA,10
云天明,关一帆,9
程心,云天明,214
程心,瓦季姆,58
程心,维德,196
程心,萨伊,5
程心,艾AA,355
程心,智子,149
程心,罗辑,87
程心,弗雷斯,43
程心,关一帆,183
瓦季姆,程心,58
瓦季姆,维德,22
维德,程心,196
维德,瓦季姆,22
维德,智子,8
维德,罗辑,9
维德,艾AA,12
艾AA,程心,355
艾AA,罗辑,22
艾AA,维德,12
艾AA,智子,33
艾AA,弗雷斯,16
艾AA,云天明,10
艾AA,关一帆,36
关一帆,艾AA,36
关一帆,程心,183
关一帆,云天明,9
关一帆,智子,14
弗雷斯,程心,43
弗雷斯,艾AA,16
弗雷斯,智子,10
