Source,Target,Weight
罗辑,史强,373
罗辑,雷迪亚兹,27
罗辑,泰勒,29
罗辑,希恩斯,45
罗辑,萨伊,35
罗辑,伽尔宁,11
罗辑,庄颜,109
罗辑,智子,17
罗辑,山杉惠子,8
罗辑,乔纳森,25
罗辑,史晓明,8
智子,丁仪,10
智子,泰勒,5
智子,罗辑,17
智子,希恩斯,6
吴岳,章北海,79
吴岳,希恩斯,11
吴岳,山杉惠子,7
章北海,吴岳,79
章北海,常伟思,28
章北海,丁仪,8
章北海,东方延绪,55
张援朝,杨晋文,21
张援朝,史晓明,5
杨晋文,张援朝,21
丁仪,智子,10
丁仪,泰勒,8
丁仪,章北海,8
常伟思,章北海,28
常伟思,希恩斯,8
史晓明,张援朝,5
史晓明,史强,5
史晓明,罗辑,8
史强,罗辑,373
史强,史晓明,5
史强,庄颜,6
史强,希恩斯,6
萨伊,罗辑,35
泰勒,罗辑,29
泰勒,雷迪亚兹,25
泰勒,希恩斯,15
泰勒,丁仪,8
泰勒,智子,5
泰勒,庄颜,7
雷迪亚兹,罗辑,27
雷迪亚兹,泰勒,25
雷迪亚兹,希恩斯,18
雷迪亚兹,伽尔宁,17
希恩斯,泰勒,15
希恩斯,雷迪亚兹,18
希恩斯,山杉惠子,73
希恩斯,罗辑,45
希恩斯,常伟思,8
希恩斯,智子,6
希恩斯,吴岳,11
希恩斯,史强,6
希恩斯,乔纳森,7
山杉惠子,希恩斯,73
山杉惠子,罗辑,8
山杉惠子,吴岳,7
伽尔宁,罗辑,11
伽尔宁,雷迪亚兹,17
庄颜,罗辑,109
庄颜,史强,6
庄颜,泰勒,7
乔纳森,罗辑,25
乔纳森,希恩斯,7
东方延绪,章北海,55
